fetched_at,source_dataset,query,title,summary,publish_time,publish_time_raw,publish_time_utc,parse_warning,url,site_name,language,ark_model
2026-05-16T05:50:21+00:00,doubao_ark_web_search,TSLA latest news,Tesla Releases First Quarter 2026 Financial Results,"Tesla Inc. released its first quarter 2026 financial results via its Investor Relations website on April 22, 2026. The company hosted a live Q&A webcast the same day to discuss the results and business outlook, and the webcast is archived on Tesla's IR website for replay.",2026-04-22 21:07 BST,2026-04-22 21:07 BST,2026-04-22T20:07:00+00:00,,https://markets.ft.com/data/announce/detail?dockey=600-202604221607BIZWIRE_USPRX____20260422_BW960098-1,Financial Times,en,doubao-seed-2-0-pro-260215
2026-05-16T05:50:21+00:00,doubao_ark_web_search,Tesla earnings news,"<Research> G Sachs: Tesla, Inc. (TSLA.US) 1Q Results Beat on Gross Margin and Free Cash Flow","Goldman Sachs published a report noting Tesla's Q1 2026 results exceeded both broker and market expectations for gross margin across its electric vehicle and energy segments, as well as free cash flow. The brokerage identified progress in FSD, Robotaxi, Optimus, new model launches, energy business outlook, gross margin and cash flow trends as key earnings call focus areas, and maintained a 'Neutral' rating on Tesla with a $375 target price.",2026-05-04,2026-05-04,2026-05-04T00:00:00+00:00,timezone missing; assumed UTC,http://www.aastocks.com/en/stocks/news/aafn-con/NOW.1522306/latest-news/AAFN,AASTOCKS,en,doubao-seed-2-0-pro-260215
2026-05-16T05:50:21+00:00,doubao_ark_web_search,Tesla earnings news,How to Value a Stock at 359x Earnings: Tesla’s Lesson,"Tesla traded at approximately 359 times trailing earnings in early May 2026, with its valuation heavily weighted toward projected future business lines rather than current financial performance. Its Q1 2026 results beat analyst consensus on non-GAAP EPS ($0.41) and gross margin (21.1%), but slightly missed revenue expectations. Analyst price targets for Tesla range from $119 to $600, the widest dispersion on record for a large-cap stock, with GuruFocus estimating its intrinsic value at $283.94, implying a roughly 40% overvaluation at current market prices.",2026-05-08,2026-05-08,2026-05-08T00:00:00+00:00,timezone missing; assumed UTC,https://stockwirex.com/analysis/tesla-valuation-scenario-analysis/,StockWireX,en,doubao-seed-2-0-pro-260215
2026-05-16T05:50:21+00:00,doubao_ark_web_search,Tesla earnings news,Tesla Q1 2026 Earnings Report,"Tesla reported Q1 2026 adjusted earnings per share of $0.41, beating consensus estimates of $0.39, while revenue of $22.39 billion missed analyst expectations of $22.96 billion, marking 15.8% year-over-year growth. The company announced plans for over $25 billion in 2026 capital expenditure to fund factory expansion, AI/semiconductor projects, Optimus development and energy capacity growth, which it said will result in negative free cash flow for the full year 2026.",2026-04-22,2026-04-22,2026-04-22T00:00:00+00:00,timezone missing; assumed UTC,https://www.marketbeat.com/earnings/reports/2026-4-22-tesla-inc-stock/,MarketBeat,en,doubao-seed-2-0-pro-260215
2026-05-16T05:50:21+00:00,doubao_ark_web_search,Tesla delivery news,Tesla Misses Q1 2026 Delivery Targets as Shares Slide to 2026 Low,"Tesla delivered 358,023 vehicles in Q1 2026, falling short of Wall Street's consensus estimate of approximately 365,000 units by around 7,000. The miss sent shares sliding more than 4% to a new 2026 low below $340. Deliveries dropped roughly 14% compared to Q4 2025, a larger sequential decline than typical seasonal patterns, indicating intensifying EV demand headwinds.",2026-04-08 00:00:00 CST,2026-04-08 00:00:00 CST,,ambiguous CST timezone; not parsed,https://motorlinks.net/articles/news/2026-04-08-tesla-q1-2026-deliveries-miss/,Motorlinks,en,doubao-seed-2-0-pro-260215
2026-05-16T05:50:21+00:00,doubao_ark_web_search,Tesla delivery news,Tesla (TSLA) Stock Plunges as Q1 2026 Delivery Miss Fuels 8-Week Decline,"Tesla reported 358,023 Q1 2026 deliveries, undershooting the 370,000-unit consensus estimate from analysts. The company manufactured 408,300 vehicles in the quarter, creating an approximately 50,000-vehicle discrepancy that marks its most significant unsold inventory accumulation on record, sparking concerns over cash flow deterioration and driving an 8-week stock decline.",2026-04-10 10:41:00 CST,2026-04-10 10:41:00 CST,,ambiguous CST timezone; not parsed,https://moneycheck.com/tesla-tsla-stock-plunges-as-q1-2026-delivery-miss-fuels-8-week-decline/,MoneyCheck™,en,doubao-seed-2-0-pro-260215
2026-05-16T05:50:21+00:00,doubao_ark_web_search,Tesla price cut news,"Tesla Quietly Cut the 2026 Model Y Price by $11,000! Is This the Best EV Deal Now?","On April 4, 2026, Tesla cut the starting price of the 2026 Long Range All-Wheel Drive Model Y by $11,000 in the U.S. by unbundling the mandatory $8,000 Full Self-Driving package from the vehicle's base cost. The new base price is $48,990 for the mechanically identical model that retains the same core features including ventilated seats, revised suspension and 327-mile range.",2026-05-08,2026-05-08,2026-05-08T00:00:00+00:00,timezone missing; assumed UTC,https://autotechspot.com/car-updates/2026-tesla-model-y-price-cut,AutoTechSpot,en,doubao-seed-2-0-pro-260215
2026-05-16T06:04:08+00:00,doubao_ark_web_search,TSLA latest news,Tesla stock consolidates as first quarter earnings surpass expectations,"Tesla's Q1 2026 gross margin and free cash flow exceeded market expectations, demonstrating strong operational efficiency. The company faces $14.5 billion in potential legal liabilities related to autopilot and securities cases, while scaling mass production of the Semi truck and progressing Full Self-Driving technology. Its stock traded at $390.45, down 0.19% on the reporting day, with a market capitalization of $1.33 trillion.",2026-05-04 17:49:00,2026-05-04 17:49:00,2026-05-04T17:49:00+00:00,timezone missing; assumed UTC,https://tradersunion.com/news/financial-news/show/1990005-tesla-slips-0-19percent-to-usd390-45/,Traders Union,en,doubao-seed-2-0-pro-260215
2026-05-16T06:04:08+00:00,doubao_ark_web_search,TSLA latest news,Tesla stock consolidates as EU regulatory hearing on Full Self-Driving approval unfolds,"Tesla stock rose 0.75% to $391.36 on the reporting day as EU regulators held hearings to review potential region-wide approval for Tesla's Full Self-Driving system. The company also secured a $100 million order for 370 Semi trucks from WattEV, its largest commercial Semi order to date, boosting positive market sentiment.",2026-05-06 18:14:00,2026-05-06 18:14:00,2026-05-06T18:14:00+00:00,timezone missing; assumed UTC,https://tradersunion.com/news/financial-news/show/2004891-tesla-gains-0-75percent-today-on/,Traders Union,en,doubao-seed-2-0-pro-260215
2026-05-16T06:04:08+00:00,doubao_ark_web_search,Tesla earnings news,Tesla Q1 Earnings Beat on Vehicle Demand Rebound & Services Growth,"Tesla delivered first-quarter 2026 adjusted earnings of 41 cents per share, up 52% year over year and ahead of the Zacks Consensus Estimate of 36 cents by 13.04%. Quarterly revenues rose 15.8% from the year-ago quarter to $22.39 billion, topping the consensus estimate of $21.92 billion, supported by higher vehicle deliveries and stronger services and other activity. The company reported 1.28 million active paid FSD subscriptions and ended the quarter with 79,918 Supercharger connectors across its charging network.",2026-04-23 10:36:00 CST,2026-04-23 10:36:00 CST,,ambiguous CST timezone; not parsed,https://www.nasdaq.com/articles/tesla-q1-earnings-beat-vehicle-demand-rebound-services-growth,Nasdaq,en,doubao-seed-2-0-pro-260215
2026-05-16T06:37:49+00:00,doubao_ark_web_search,Tesla stock latest news,"Magnificent 7 Weekly Report: May 14, 2026","Tesla stock closed at $447.93 on May 13, 2026, posting a 3.3% weekly gain, driven by positive catalysts including Belgium's approval of its Full Self-Driving (FSD) system and the company's announcement of a $250 million investment to expand battery production at its Berlin super factory, as covered in the weekly performance report for the Magnificent 7 major tech stocks.",2026-05-14,2026-05-14,2026-05-14T00:00:00+00:00,timezone missing; assumed UTC,https://moneymorning.com/2026/05/14/magnificent-7-weekly-report-may-14-2026,Money Morning,en,doubao-seed-2-0-pro-260215
2026-05-16T06:37:49+00:00,doubao_ark_web_search,TSLA latest news,"Tesla, Inc. (TSLA)","Tesla (TSLA) is trading at $443.23 as of May 15, 2026, down 0.46% ($2.06) from the previous close, with a market cap of $1.66T and trading volume of 43M.",2026-05-15 00:00:00,2026-05-15 00:00:00,2026-05-15T00:00:00+00:00,timezone missing; assumed UTC,https://www.mexc.in/en-IN/stocks/tsla,MEXC Exchange,en,doubao-seed-2-0-pro-260215
2026-05-16T06:37:49+00:00,doubao_ark_web_search,TSLA latest news,Tesla Stock Has Recovered From Its Post-Earnings Low. Here’s Where It Could Go in 2026,"Tesla (TSLA) shares have recovered sharply from their post-earnings low of $373 on April 23, 2026, climbing above $428 by May 8, 2026. The street's mid target price for TSLA is ~$2,569, representing a potential total return of ~500%.",2026-05-10 00:00:00,2026-05-10 00:00:00,2026-05-10T00:00:00+00:00,timezone missing; assumed UTC,https://www.tikr.com/blog/tesla-stock-has-recovered-from-its-post-earnings-low-heres-where-it-could-go-in-2026,TIKR,en,doubao-seed-2-0-pro-260215
2026-05-16T06:37:49+00:00,doubao_ark_web_search,TSLA latest news,"Tesla, Inc.: Performance & Quotes, TSLA Stock Price on Nasdaq Exchange","TSLA closed at $433.45 on May 12, 2026, down 2.60% for the trading day. The stock's 5-day performance shows it rose from $398.73 on May 6 to a high of $445.00 on May 11 before the May 12 drop.",2026-05-12 18:29:00,2026-05-12 18:29:00,2026-05-12T18:29:00+00:00,timezone missing; assumed UTC,http://www.marketscreener.com/quote/stock/TESLA-INC-6344549/quotes/,MarketScreener,en,doubao-seed-2-0-pro-260215
2026-05-16T06:42:37+00:00,doubao_ark_web_search,Tesla stock latest news,"Tesla reports higher Q1 revenue, profit","U.S. electric vehicle maker Tesla reported first quarter 2026 financial results with total revenue rising 16 percent year on year to 22.4 billion U.S. dollars, GAAP net income attributable to common stockholders increasing 17 percent year on year to 477 million U.S. dollars, operating margin improving to 4.2 percent from 2.1 percent in the same period last year, and free cash flow standing at 1.44 billion U.S. dollars. The company produced 408,386 vehicles and delivered 358,023 units in the quarter.",2026-04-23 08:49:12 CST,2026-04-23 08:49:12 CST,2026-04-23T00:49:12+00:00,,http://m.chinanews.com/wap/detail/ecnszw/hfcvrrh5915867.shtml,Xinhua,en,doubao-seed-2-0-pro-260215
2026-05-16T06:42:37+00:00,doubao_ark_web_search,Tesla stock latest news,Tesla Price,"As of 2026-05-16 05:44 UTC+8, Tesla Inc (TSLA) closed at $418.57, down $23.83 or 5.38% from the previous close. The stock has a total market cap of $1.58T, P/E ratio of 382.27, trading volume of 52.08M, and traded between $417.88 and $435.95 on the day. Its 52-week trading range is $273.21 to $498.83, and its next earnings date is scheduled for 2026-07-22.",2026-05-16 05:44:00 CST,2026-05-16 05:44:00 CST,,ambiguous CST timezone; not parsed,https://app.mbm06.com/tradfi/price/TSLA,MBM Trading Platform,en,doubao-seed-2-0-pro-260215
2026-05-16T06:42:37+00:00,doubao_ark_web_search,TSLA latest news,Why Tesla (TSLA) Stock Rallied On Friday,"Tesla shares rose more than 4% intraday on May 8, 2026, supported by stronger-than-expected China delivery data (79,478 units from Shanghai Gigafactory in April, up 36% YoY), better-than-expected Q1 2026 earnings, FSD subscription growth reaching 1.3 million users, and positive market sentiment towards its Robotaxi pilot programs. The stock gained 2.73% for the day, outperforming the S&P 500 by 2.43 percentage points.",2026-05-08 15:33:00 EDT,2026-05-08 15:33:00 EDT,,unsupported timezone abbreviation: EDT,https://www.investing.com/news/stock-market-news/article-93CH-3357172,Investing.com,en,doubao-seed-2-0-pro-260215
2026-05-16T06:42:37+00:00,doubao_ark_web_search,TSLA latest news,"Jefferies Lifts TSLA Target Price To $350, Flags Q1 Margin Concerns","Jefferies raised Tesla's 12-month target price from $300 to $350 on May 13, 2026, citing the company's long-term growth potential amid weak industry competition. The firm projected Q1 2026 revenue of $21.2 billion, core auto gross margin of 15.5%, and operating margin below 3%, warning that weak Q1 results could fuel investor concerns over high capital spending unless Tesla shows tangible progress on its Robotaxi initiative.",2026-05-13 04:30:00 EDT,2026-05-13 04:30:00 EDT,,unsupported timezone abbreviation: EDT,https://www.aastocks.com/en/usq/quote/stock-news-content.aspx?id=NOW.1518788,AASTOCKS Financial News,en,doubao-seed-2-0-pro-260215
2026-05-16T06:42:37+00:00,doubao_ark_web_search,TSLA latest news,Tesla Discontinues Model S And Model X After Final Unit Rolls Off Fremont Line,"Tesla officially announced the end of production for the Model S and Model X on May 10, 2026, after the final units of the two flagship models left the assembly line at its Fremont, California factory. The company stated the production line will be reconfigured over the next four months to manufacture Optimus humanoid robots.",2026-05-10 12:00:00 EDT,2026-05-10 12:00:00 EDT,,unsupported timezone abbreviation: EDT,https://www.reuters.com/business/autos-transportation/tesla-discontinues-model-s-model-x-2026-05-10/,Reuters,en,doubao-seed-2-0-pro-260215
2026-05-16T06:42:37+00:00,doubao_ark_web_search,TSLA latest news,Tesla To Invest Additional $250M In Berlin Gigafactory To Boost Battery Cell Output,"Tesla announced on May 12, 2026 that it will invest an extra $250 million into its Gigafactory in Gruenheide near Berlin, Germany, to raise the facility's annual battery cell production capacity to 18 GWh, strengthening its European supply chain for electric vehicles and energy storage products.",2026-05-12 08:00:00 CET,2026-05-12 08:00:00 CET,,unsupported timezone abbreviation: CET,https://www.bloomberg.com/news/articles/2026-05-12/tesla-invest-250-million-more-berlin-battery-plant,Bloomberg,en,doubao-seed-2-0-pro-260215
2026-05-16T06:42:37+00:00,doubao_ark_web_search,TSLA latest news,Tesla Launches New 'Easy Loan' Financing Program For Model 3 And Model Y In China,"Tesla rolled out a new 'Easy Loan' financing scheme for Model 3, Model Y and Model Y L models in China on May 13, 2026, featuring low down payments, low monthly installments, low interest rates, and high residual value buyback options. The promotional program is valid until May 31, 2026, with Model 3 down payments starting at RMB 55,900 and 5-year monthly payments as low as RMB 2,193.",2026-05-13 09:00:00 CST,2026-05-13 09:00:00 CST,,ambiguous CST timezone; not parsed,https://www.donews.com/news/detail/9876234.html,DoNews,en,doubao-seed-2-0-pro-260215
