scope,name,kind,threshold,train_rows,test_rows,train_start_date,train_end_date,test_start_date,test_end_date,predicted_up_ratio,actual_up_ratio,accuracy,precision,recall,f1_score,balanced_accuracy,roc_auc,pr_auc,brier_score
validation_oof,model_default_threshold_0p5,model,0.5,,665,,,2020-09-16,2024-01-08,0.5142857142857142,0.5203007518796993,0.49774436090225566,0.5175438596491229,0.5115606936416185,0.5145348837209303,0.4971596571656368,0.507374925254136,0.5489232705897679,0.25048816366172805
validation_oof,model_research_selected_threshold,model,0.3,,665,,,2020-09-16,2024-01-08,1.0,0.5203007518796993,0.5203007518796993,0.5203007518796993,1.0,0.6844708209693373,0.5,0.507374925254136,0.5489232705897679,0.25048816366172805
strict_final_20pct_holdout,model_default_threshold_0p5,model,0.5,799,200,2020-01-31,2024-01-08,2024-01-10,2024-12-30,0.525,0.495,0.54,0.5333333333333333,0.5656565656565656,0.5490196078431373,0.5402540254025403,0.5317531753175316,0.5498436211883136,0.25060026635979843
strict_final_20pct_holdout,model_research_selected_threshold,model,0.3,799,200,2020-01-31,2024-01-08,2024-01-10,2024-12-30,0.995,0.495,0.49,0.49246231155778897,0.98989898989899,0.6577181208053692,0.494949494949495,0.5317531753175316,0.5498436211883136,0.25060026635979843
strict_final_20pct_holdout,always_up,baseline,,799,200,2020-01-31,2024-01-08,2024-01-10,2024-12-30,1.0,0.495,0.495,0.495,1.0,0.6622073578595318,0.5,0.5,0.495,0.505
strict_final_20pct_holdout,always_down,baseline,,799,200,2020-01-31,2024-01-08,2024-01-10,2024-12-30,0.0,0.495,0.505,0.0,0.0,0.0,0.5,0.5,0.495,0.495
strict_final_20pct_holdout,tsla_momentum_return_1,baseline,,799,200,2020-01-31,2024-01-08,2024-01-10,2024-12-30,0.515,0.495,0.51,0.5048543689320388,0.5252525252525253,0.5148514851485149,0.5101510151015102,0.5101510151015102,0.5001760321663234,0.49
strict_final_20pct_holdout,tsla_momentum_return_5,baseline,,799,200,2020-01-31,2024-01-08,2024-01-10,2024-12-30,0.51,0.495,0.495,0.49019607843137253,0.5050505050505051,0.4975124378109453,0.4950995099509951,0.49509950995099516,0.4925737769855417,0.505
strict_final_20pct_holdout,tsla_relative_to_qqq_momentum,baseline,,799,200,2020-01-31,2024-01-08,2024-01-10,2024-12-30,0.5,0.495,0.525,0.52,0.5252525252525253,0.5226130653266332,0.525002500250025,0.525002500250025,0.5081313131313131,0.475
